card_id,source_author,source_title,source_url,source_date,collected_date,core_claim,mechanism,evidence_summary,fact_vs_opinion,counterexample_boundary,china_context,verification_status,category,status,used_article_id,notes
CARD-001,Morgan Housel,Obvious Things That Are Easy To Ignore,https://collabfund.com/blog/obvious-things/,2020-09-16,2026-08-31,收入增加不必然带来富足感；关键还在于期望是否同步膨胀。 ,身边可见的生活标准抬高参照物；参照物快于收入上升时满足感被挤压。 ,原文以高收入者比较和美国不同时代家庭收入作讨论材料。 ,标题日期页面内容已核对；比较决定幸福感的因果强度是作者判断。 ,基本居住医疗教育等缺口真实存在时不能把焦虑简单归因于攀比。 ,换大房后又因孩子同学的培训旅行和电子产品感到预算吃紧。 ,partial,money_life,drafted,ARTICLE-001,用于TOPIC-001试点文章；正文只使用另行核验的中国官方消费数据和教育部规范信息，不直接引用原文美国数字。
CARD-002,Morgan Housel,Alternative Forms of Wealth,https://collabfund.com/blog/alternative-forms-of-wealth/,2020-08-27,2026-08-31,可支配时间关系质量独处能力和抗压余地也是生活资产。 ,金钱只能购买部分选择权；日常能力决定选择权能否落地。 ,原文列举睡眠独立生活交流和离开糟糕工作的能力。 ,页面元数据和列举内容已核对；把这些能力称为财富是价值判断。 ,合理外包能减轻育儿照护和高强度工作阶段的负担。 ,双职工家庭收入增加但睡眠和相处时间持续减少。 ,partial,family_relationships,unused,,时间自主性与幸福关系需找中国研究补证。
CARD-003,Morgan Housel,The Spectrum of Wealth,https://collabfund.com/blog/the-spectrum-of-wealth/,2019-10-30,2026-08-31,财富还要看安全感关系时间和脆弱性。 ,负债职业厌恶生活成本不同会改变同一笔钱的实际安全感。 ,原文用一组文字化情境比较多种财富状态。 ,页面元数据和情境已核对；该光谱是作者的非统计分类。 ,非金钱维度重要但不能忽略现金流债务和养老保障。 ,收入相近的两人因住房和照护支持不同而感受迥异。 ,partial,money_life,unused,,美国应急储蓄研究和中国家庭风险差异待核验。
CARD-004,Morgan Housel,Useful Biases,https://collabfund.com/blog/useful-biases/,2019-10-22,2026-08-31,复杂选择中适度怀疑和承认不知道可能比追求全知有用。 ,利益驱动的说法放大自信；过度求证又可能造成决策瘫痪。 ,原文讨论营销话术长期坚持和尽调过度。 ,标题日期与论证主线已核对；哪些偏见有益是作者框架。 ,医疗法律重大借贷不能以合理无知替代专业核查。 ,父母在多个群反复比信息半年仍没做需求清单。 ,partial,human_social,unused,,心理学与投资者行为材料以及中国消费者行为待核验。
CARD-005,Morgan Housel,"Death, Taxes, and a Few Other Things",https://collabfund.com/blog/death-taxes-and-a-few-other-things/,2019-10-05,2026-08-31,生活改善会重置正常标准而不必然带来同比例满足。 ,群体基线改变后原本的奢侈会变成必需。 ,原文以美国收入住房和消费预期作说明。 ,页面元数据和案例类型已核对；心理解释不能直接外推到中国。 ,成本上涨和公共服务差异也会影响体感。 ,父母把独立房间平板和多项兴趣班视为默认配置。 ,partial,money_life,unused,,美国数据及中国消费基线变化待核验。
CARD-006,Morgan Housel,"Fat, Happy, And In Over Your Head",https://collabfund.com/blog/fat-happy-and-in-over-your-head/,2019-09-17,2026-08-31,没有够了的边界更多资源可能推高风险和后悔。 ,锚定高点后放弃增量被感知为失败；欲望持续加码。 ,原文讨论公司估值扩张和运动员退场。 ,标题日期和两类案例已核对；足够阈值是个人判断。 ,低收入或必要债务阶段不能把设上限当作放弃改善。 ,小店盈利后同时扩店买车加大装修而压缩现金缓冲。 ,partial,money_life,unused,,原文公司与运动员细节及中国小微经营风险待核验。
CARD-007,Morgan Housel,You Better Love This,https://collabfund.com/blog/you-better-love-this/,2019-08-29,2026-08-31,长期坚持的选择需要内在兴趣或可承受的过程。 ,兴趣降低枯燥和挫败时的退出概率从而让时间发挥作用。 ,原文以投资策略研究项目和职业选择说明坚持成本。 ,标题日期和主线已核对；喜欢就更成功不是因果保证。 ,喜爱不能替代能力收入保障和健康边界。 ,职场人报名热门证书后因工作家庭挤压而停课。 ,partial,career_wealth,unused,,原文市场回报概率与职业离职说法待核验且不直接采用。
CARD-008,Morgan Housel,Universal Laws of the World,https://collabfund.com/blog/laws/,2019-07-31,2026-08-31,当指标变成唯一目标行为会偏离原本问题。 ,人围绕可计量可奖励的指标优化；难量化的长期质量被忽略。 ,原文介绍跨领域经验法则和指标失真。 ,页面元数据和相关法则已核对；适用范围需查原始出处。 ,没有指标也会责任模糊；问题在单一指标垄断决策。 ,父母只盯分数导致睡眠阅读兴趣和沟通被挤掉。 ,partial,human_social,unused,,各法则来源定义和教育语境证据待核验。
CARD-009,Morgan Housel,Why Things Break: Easy Causes of Business and Investing Failure,https://collabfund.com/blog/why-things-break/,2019-07-02,2026-08-31,成功会改变习惯和环境并可能埋下失败种子。 ,规模带来复杂度；成果带来松懈；旧经验被过度泛化。 ,原文讨论企业规模管理复杂度与经验局限。 ,标题日期和因果链已核对；企业机制不能直接等同家庭。 ,增长也可能提升资源和抗风险能力。 ,夫妻店订单增加后不记账不分工而引发冲突。 ,partial,career_wealth,unused,,公司故事和中国小微企业扩张风险待核验。
CARD-010,Morgan Housel,Financial Advice For My New Daughter,https://collabfund.com/blog/financial-advice-for-my-new-daughter/,2019-06-04,2026-08-31,钱的重要回报之一是时间和选择；结果也受运气与起点影响。 ,储蓄和较低固定开支增加回旋余地；承认偶然性可减少过度归责。 ,原文以给女儿的建议讨论机会职业变化和节制。 ,标题日期作者与内容已核对；最高回报等结论是作者判断。 ,低收入疾病照护和地区机会会限制储蓄空间。 ,年轻夫妻优先留现金缓冲以应对通勤和父母照护。 ,partial,money_life,unused,,中国应急储蓄照护支出资料待核验。
